"Ack required";"Radius (Computed location)";"Longitude (Computed location)";"Latitude (Computed location)";"Source (Computed location)";"Country";"Data";"Device ID";"Data1 (Downlink answer status)";"Data2 (Downlink answer status)";"Data3 (Downlink answer status)";"Data4 (Downlink answer status)";"Data5 (Downlink answer status)";"Downlink client status";"Link Quality Indicator";"Link Quality Indicator repeaters";"Operator";"Rollover counter";"Sequence number";"Timestamp"
"false";;;;;"";"00000000c8968140020200";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1212";"2020-01-20 14:45:30"
"false";;;;;"";"00000000e7118240020200";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1211";"2020-01-20 14:30:28"
"false";;;;;"";"000000007e228340020200";"004D54B4";;;;;;"";"Limit";"N/A";"SIGFOX_Chile_Mintek";"0";"1209";"2020-01-20 14:00:25"
"false";;;;;"";"00000000c41b8340020200";"004D54B4";;;;;;"";"Limit";"N/A";"SIGFOX_Chile_Mintek";"0";"1208";"2020-01-20 13:45:22"
"false";;;;;"";"00000000f0fe8240020200";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1207";"2020-01-20 13:30:20"
"false";;;;;"";"000000002cdd8140020200";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1206";"2020-01-20 13:15:18"
"false";;;;;"";"00000000e36c8240020200";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1205";"2020-01-20 13:00:19"
"false";;;;;"";"6666604359fc8240000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1204";"2020-01-20 12:45:11"
"false";;;;;"";"33b35e43d61d8340000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1203";"2020-01-20 12:30:09"
"false";;;;;"";"9a195f439a2b8340000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1202";"2020-01-20 12:15:09"
"false";;;;;"";"9a19604379cf8240000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1201";"2020-01-20 12:00:04"
"false";;;;;"";"00000000e8af8140020200";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1200";"2020-01-20 11:45:19"
"false";;;;;"";"000000000a4b8240020200";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1199";"2020-01-20 11:30:21"
"false";;;;;"";"00006243d5fa8240000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1198";"2020-01-20 11:15:11"
"false";;;;;"";"0080604339278340000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1197";"2020-01-20 11:00:09"
"false";;;;;"";"9a9961437a1f8340000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1196";"2020-01-20 10:45:07"
"false";;;;;"";"66e6614332fe8140000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1195";"2020-01-20 10:30:05"
"false";;;;;"";"0000000077a08140020200";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1194";"2020-01-20 10:15:17"
"false";;;;;"";"0000000058378240020200";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1193";"2020-01-20 10:00:19"
"false";;;;;"";"6666624389f08240000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1192";"2020-01-20 09:45:11"
"false";;;;;"";"33b36243f2108340000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1191";"2020-01-20 09:30:09"
"false";;;;;"";"66e65f43c2148340000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1190";"2020-01-20 09:15:07"
"false";;;;;"";"66e66443daed8140000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1189";"2020-01-20 09:00:04"
"false";;;;;"";"0000000024d58140020200";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1188";"2020-01-20 08:45:18"
"false";;;;;"";"000000003a7a8240020200";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1187";"2020-01-20 08:30:18"
"false";;;;;"";"000064431c0a8340000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1186";"2020-01-20 08:15:10"
"false";;;;;"";"cd4c644384298340000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1185";"2020-01-20 08:00:08"
"false";;;;;"";"9a996343f1f48240000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1184";"2020-01-20 07:45:06"
"false";;;;;"";"33336443e8138240000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1183";"2020-01-20 07:30:03"
"false";;;;;"";"00000000e4bc8140020200";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1182";"2020-01-20 07:15:17"
"false";;;;;"";"00000000fa238240020200";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1181";"2020-01-20 07:00:17"
"false";;;;;"";"cdcc634351fe8240000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1180";"2020-01-20 06:45:11"
"false";;;;;"";"cd4c63436e198340000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1179";"2020-01-20 06:30:09"
"false";;;;;"";"cd4c6243b4ea8240000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1178";"2020-01-20 06:15:07"
"false";;;;;"";"9a996343e8e58240000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1177";"2020-01-20 06:00:04"
"false";;;;;"";"000000008ccf8140020200";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1176";"2020-01-20 05:45:18"
"false";;;;;"";"00000000121d8240020200";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1175";"2020-01-20 05:30:19"
"false";;;;;"";"00806243c6f88240000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1174";"2020-01-20 05:15:10"
"false";;;;;"";"33b3634396f98240000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1173";"2020-01-20 05:00:08"
"false";;;;;"";"33b36343426b8340000000";"004D54B4";;;;;;"";"Average";"N/A";"SIGFOX_Chile_Mintek";"0";"1172";"2020-01-20 04:45:06"
