Data;Device ID;Link Quality Indicator;Operator;Sequence number;Timestamp;;Mensajes perdidos;Mensajes perdidos por dia;Mensajes enviados por dia
0000000035778340020200;004D54B4;Average;SIGFOX_Chile_Mintek;68;08-01-2020 13:46;1;0;3;68
00000000567a8240020200;004D54B4;Average;SIGFOX_Chile_Mintek;66;08-01-2020 13:16;2;1;;
000000000ae38240020200;004D54B4;Limit;SIGFOX_Chile_Mintek;65;08-01-2020 13:01;1;0;;
0000000001218340020200;004D54B4;Average;SIGFOX_Chile_Mintek;64;08-01-2020 13:00;1;0;;
0000000062da8240010200;004D54B4;Limit;SIGFOX_Chile_Mintek;63;08-01-2020 13:00;1;0;;
9a995f43d6628340000000;004D54B4;Average;SIGFOX_Chile_Mintek;62;08-01-2020 12:45;1;0;;
66665e4390678340000000;004D54B4;Average;SIGFOX_Chile_Mintek;61;08-01-2020 12:30;1;0;;
00805f43f4788340000000;004D54B4;Average;SIGFOX_Chile_Mintek;60;08-01-2020 12:15;1;0;;
3333604334338340000000;004D54B4;Average;SIGFOX_Chile_Mintek;59;08-01-2020 12:00;1;0;;
000000001a3a8240020200;004D54B4;Average;SIGFOX_Chile_Mintek;58;08-01-2020 11:46;1;0;;
00000000a9e28240020200;004D54B4;Average;SIGFOX_Chile_Mintek;57;08-01-2020 11:31;1;0;;
000000000fd68240020200;004D54B4;Average;SIGFOX_Chile_Mintek;56;08-01-2020 11:30;1;0;;
0000000068108340010200;004D54B4;Average;SIGFOX_Chile_Mintek;55;08-01-2020 11:30;1;0;;
66e661430e438340000000;004D54B4;Average;SIGFOX_Chile_Mintek;54;08-01-2020 11:15;1;0;;
666661439c928340000000;004D54B4;Average;SIGFOX_Chile_Mintek;53;08-01-2020 11:00;1;0;;
66666243c2518340000000;004D54B4;Average;SIGFOX_Chile_Mintek;52;08-01-2020 10:45;1;0;;
33336343e6808340000000;004D54B4;Average;SIGFOX_Chile_Mintek;51;08-01-2020 10:30;1;0;;
0000000084338240020200;004D54B4;Average;SIGFOX_Chile_Mintek;50;08-01-2020 10:16;1;0;;
000000007ec68240020200;004D54B4;Average;SIGFOX_Chile_Mintek;49;08-01-2020 10:01;1;0;;
000000002af58240020200;004D54B4;Average;SIGFOX_Chile_Mintek;48;08-01-2020 10:00;1;0;;
00000000d20f8340010200;004D54B4;Average;SIGFOX_Chile_Mintek;47;08-01-2020 10:00;1;0;;
cdcc6243926f8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;46;08-01-2020 9:45;1;0;;
cdcc62433c4b8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;45;08-01-2020 9:30;1;0;;
666663432c7a8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;44;08-01-2020 9:15;1;0;;
9a9963435f618340000000;004D54B4;Average;SIGFOX_Chile_Mintek;43;08-01-2020 9:00;1;0;;
0000000076de8240020200;004D54B4;Average;SIGFOX_Chile_Mintek;41;08-01-2020 8:31;2;1;;
0000000000288340020200;004D54B4;Average;SIGFOX_Chile_Mintek;40;08-01-2020 8:30;1;0;;
00000000fddf8240010200;004D54B4;Average;SIGFOX_Chile_Mintek;39;08-01-2020 8:30;1;0;;
9a196043b94d8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;38;08-01-2020 8:15;1;0;;
cdcc62438c428340000000;004D54B4;Average;SIGFOX_Chile_Mintek;37;08-01-2020 8:00;1;0;;
66e661432f448340000000;004D54B4;Average;SIGFOX_Chile_Mintek;36;08-01-2020 7:45;1;0;;
00006243ce558240000000;004D54B4;Average;SIGFOX_Chile_Mintek;35;08-01-2020 7:30;1;0;;
000000008d1c8240020200;004D54B4;Average;SIGFOX_Chile_Mintek;34;08-01-2020 7:16;1;0;;
0000000088bf8240020200;004D54B4;Average;SIGFOX_Chile_Mintek;33;08-01-2020 7:01;1;0;;
0000000081e58240020200;004D54B4;Average;SIGFOX_Chile_Mintek;32;08-01-2020 7:00;1;0;;
0000000072cc8240010200;004D54B4;Average;SIGFOX_Chile_Mintek;31;08-01-2020 7:00;1;0;;
9a196343e2448340000000;004D54B4;Average;SIGFOX_Chile_Mintek;30;08-01-2020 6:45;1;0;;
cdcc6243a5578340000000;004D54B4;Average;SIGFOX_Chile_Mintek;29;08-01-2020 6:30;1;0;;
0000644356578340000000;004D54B4;Average;SIGFOX_Chile_Mintek;28;08-01-2020 6:15;1;0;;
cd4c64434e0e8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;27;08-01-2020 6:00;1;0;;
000000008cd78140020200;004D54B4;Average;SIGFOX_Chile_Mintek;26;08-01-2020 5:46;1;0;;
00000000c0ec8240020200;004D54B4;Average;SIGFOX_Chile_Mintek;25;08-01-2020 5:31;1;0;;
000000002c908240020200;004D54B4;Average;SIGFOX_Chile_Mintek;24;08-01-2020 5:30;1;0;;
3333654384698340000000;004D54B4;Average;SIGFOX_Chile_Mintek;22;08-01-2020 5:15;2;1;;
00806443174d8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;21;08-01-2020 5:00;1;0;;
33b36443658a8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;20;08-01-2020 4:45;1;0;;
00006543426e8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;19;08-01-2020 4:30;1;0;;
00000000326f8240020200;004D54B4;Average;SIGFOX_Chile_Mintek;18;08-01-2020 4:16;1;0;;
00000000e8d68240020200;004D54B4;Average;SIGFOX_Chile_Mintek;17;08-01-2020 4:01;1;0;;
0000000030e28240020200;004D54B4;Average;SIGFOX_Chile_Mintek;16;08-01-2020 4:00;1;0;;
000000003ccf8240010200;004D54B4;Limit;SIGFOX_Chile_Mintek;15;08-01-2020 4:00;1;0;;
9a99644358658340000000;004D54B4;Average;SIGFOX_Chile_Mintek;14;08-01-2020 3:45;1;0;;
66e663435f3c8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;13;08-01-2020 3:30;1;0;;
66666443dc788340000000;004D54B4;Limit;SIGFOX_Chile_Pilot Telefonica (temp);12;08-01-2020 3:15;1;0;;
00806343a2368340000000;004D54B4;Average;SIGFOX_Chile_Mintek;11;08-01-2020 3:00;1;0;;
00000000f0278240020200;004D54B4;Average;SIGFOX_Chile_Mintek;10;08-01-2020 2:46;1;0;;
0000000082e38240020200;004D54B4;Average;SIGFOX_Chile_Mintek;9;08-01-2020 2:31;1;0;;
0000000000c68240020200;004D54B4;Average;SIGFOX_Chile_Mintek;8;08-01-2020 2:30;1;0;;
00000000a6cd8240010200;004D54B4;Average;SIGFOX_Chile_Mintek;7;08-01-2020 2:30;1;0;;
66e6614356408340000000;004D54B4;Average;SIGFOX_Chile_Mintek;6;08-01-2020 2:15;1;0;;
008065434f548340000000;004D54B4;Average;SIGFOX_Chile_Mintek;5;08-01-2020 2:00;1;0;;
9a196543b47e8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;4;08-01-2020 1:45;1;0;;
cdcc6443c8578340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3;08-01-2020 1:30;1;0;;
0000000006bd8140020200;004D54B4;Average;SIGFOX_Chile_Mintek;2;08-01-2020 1:15;1;0;;
000000002edf8240020200;004D54B4;Limit;SIGFOX_Chile_Mintek;1;08-01-2020 1:00;1;0;;
cd4c634396378340000000;004D54B4;Average;SIGFOX_Chile_Mintek;0;08-01-2020 0:49;1;0;;
cd4c6343f74b8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3871;08-01-2020 0:00;1;0;;
008063430b4b8340000000;004D54B4;Average;SIGFOX_Chile_Mintek;3870;08-01-2020 0:00;1;0;;
0000000099398240020200;004D54B4;Average;SIGFOX_Chile_Mintek;3869;07-01-2020 23:45;1;0;1;26
00000000c2d48240020200;004D54B4;Average;SIGFOX_Chile_Mintek;3868;07-01-2020 23:31;1;0;;
000000004ae48240020200;004D54B4;Average;SIGFOX_Chile_Mintek;3867;07-01-2020 23:30;1;0;;
000000006a288340010200;004D54B4;Average;SIGFOX_Chile_Mintek;3866;07-01-2020 23:30;1;0;;
