timestamp,human_readable_date,value,context
1579542332067,2020-01-20 14:45:32,16.86,b'{}'
1579541430382,2020-01-20 14:30:30,17.03,b'{}'
1579539627544,2020-01-20 14:00:27,17.34,b'{}'
1579538724055,2020-01-20 13:45:24,17.47,b'{}'
1579537822108,2020-01-20 13:30:22,17.55,b'{}'
1579536920084,2020-01-20 13:15:20,17.71,b'{}'
1579536021689,2020-01-20 13:00:21,17.96,b'{}'
1579535113099,2020-01-20 12:45:13,17.76,b'{}'
1579534211037,2020-01-20 12:30:11,17.95,b'{}'
1579533310749,2020-01-20 12:15:10,18.1,b'{}'
1579532406392,2020-01-20 12:00:06,18.22,b'{}'
1579531521009,2020-01-20 11:45:21,18.28,b'{}'
1579530623330,2020-01-20 11:30:23,18.39,b'{}'
1579529713044,2020-01-20 11:15:13,18.29,b'{}'
1579528811249,2020-01-20 11:00:11,18.21,b'{}'
1579527909157,2020-01-20 10:45:09,18.26,b'{}'
1579527007432,2020-01-20 10:30:07,18.34,b'{}'
1579526118962,2020-01-20 10:15:18,18.34,b'{}'
1579525221012,2020-01-20 10:00:21,18.52,b'{}'
1579524313072,2020-01-20 09:45:13,18.65,b'{}'
1579523411446,2020-01-20 09:30:11,18.71,b'{}'
1579522509463,2020-01-20 09:15:09,18.52,b'{}'
1579521606831,2020-01-20 09:00:06,18.54,b'{}'
1579520720010,2020-01-20 08:45:20,18.54,b'{}'
1579519820464,2020-01-20 08:30:20,18.54,b'{}'
1579518911938,2020-01-20 08:15:11,18.36,b'{}'
1579518010112,2020-01-20 08:00:10,18.18,b'{}'
1579517108002,2020-01-20 07:45:08,17.98,b'{}'
1579516205678,2020-01-20 07:30:05,17.92,b'{}'
1579515319014,2020-01-20 07:15:19,17.89,b'{}'
1579514419994,2020-01-20 07:00:19,17.85,b'{}'
1579513518513,2020-01-20 06:45:18,17.77,b'{}'
1579512610895,2020-01-20 06:30:10,17.88,b'{}'
1579511708948,2020-01-20 06:15:08,17.73,b'{}'
1579510806853,2020-01-20 06:00:06,17.72,b'{}'
1579509919894,2020-01-20 05:45:19,17.7,b'{}'
1579509020931,2020-01-20 05:30:20,17.55,b'{}'
1579508111942,2020-01-20 05:15:11,17.39,b'{}'
1579507210039,2020-01-20 05:00:10,17.42,b'{}'
1579506307907,2020-01-20 04:45:07,17.4,b'{}'
1579505405304,2020-01-20 04:30:05,17.34,b'{}'
1579504519016,2020-01-20 04:15:19,17.18,b'{}'
1579503620252,2020-01-20 04:00:20,17.13,b'{}'
1579502712919,2020-01-20 03:45:12,16.93,b'{}'
1579501809992,2020-01-20 03:30:09,16.84,b'{}'
1579500907932,2020-01-20 03:15:07,16.72,b'{}'
1579500005752,2020-01-20 03:00:05,16.72,b'{}'
1579499118882,2020-01-20 02:45:18,16.56,b'{}'
1579498219617,2020-01-20 02:30:19,16.33,b'{}'
1579497312889,2020-01-20 02:15:12,16.09,b'{}'
1579496411716,2020-01-20 02:00:11,16.04,b'{}'
1579495508960,2020-01-20 01:45:08,15.94,b'{}'
1579494606697,2020-01-20 01:30:06,15.89,b'{}'
1579493717867,2020-01-20 01:15:17,15.78,b'{}'
1579492819111,2020-01-20 01:00:19,15.67,b'{}'
1579491912922,2020-01-20 00:45:12,15.61,b'{}'
1579491010881,2020-01-20 00:30:10,15.37,b'{}'
1579490107931,2020-01-20 00:15:07,15.05,b'{}'
1579489205989,2020-01-20 00:00:05,14.75,b'{}'
1579488318851,2020-01-19 23:45:18,14.48,b'{}'
1579487419112,2020-01-19 23:30:19,14.22,b'{}'
1579486510810,2020-01-19 23:15:10,14.28,b'{}'
1579485608903,2020-01-19 23:00:08,14.18,b'{}'
1579484706888,2020-01-19 22:45:06,14.14,b'{}'
1579483804887,2020-01-19 22:30:04,13.7,b'{}'
1579482918821,2020-01-19 22:15:18,13.67,b'{}'
1579482019867,2020-01-19 22:00:19,13.76,b'{}'
1579481112772,2020-01-19 21:45:12,13.81,b'{}'
1579480211875,2020-01-19 21:30:11,13.56,b'{}'
1579479308789,2020-01-19 21:15:08,13.21,b'{}'
1579478407306,2020-01-19 21:00:07,12.92,b'{}'
1579477520731,2020-01-19 20:45:20,12.9,b'{}'
1579476621362,2020-01-19 20:30:21,12.93,b'{}'
1579475712850,2020-01-19 20:15:12,12.88,b'{}'
1579474810915,2020-01-19 20:00:10,12.97,b'{}'
1579473908772,2020-01-19 19:45:08,12.93,b'{}'
1579473008128,2020-01-19 19:30:08,12.98,b'{}'
1579472120743,2020-01-19 19:15:20,13.2,b'{}'
1579471221555,2020-01-19 19:00:21,13.15,b'{}'
1579470311820,2020-01-19 18:45:11,12.98,b'{}'
1579469409745,2020-01-19 18:30:09,13.06,b'{}'
1579468508664,2020-01-19 18:15:08,13.06,b'{}'
1579467606587,2020-01-19 18:00:06,13.0,b'{}'
1579466722480,2020-01-19 17:45:22,12.92,b'{}'
1579465821392,2020-01-19 17:30:21,13.08,b'{}'
1579464914447,2020-01-19 17:15:14,13.14,b'{}'
1579464010720,2020-01-19 17:00:10,13.01,b'{}'
1579463108676,2020-01-19 16:45:08,12.93,b'{}'
1579462208389,2020-01-19 16:30:08,13.01,b'{}'
1579461319665,2020-01-19 16:15:19,13.22,b'{}'
1579460420693,2020-01-19 16:00:20,13.14,b'{}'
1579459512636,2020-01-19 15:45:12,13.31,b'{}'
1579458610678,2020-01-19 15:30:10,13.55,b'{}'
1579457711326,2020-01-19 15:15:11,13.87,b'{}'
1579456806927,2020-01-19 15:00:06,14.01,b'{}'
1579455920536,2020-01-19 14:45:20,14.04,b'{}'
1579455021449,2020-01-19 14:30:21,14.14,b'{}'
1579454113645,2020-01-19 14:15:13,14.15,b'{}'
1579453213418,2020-01-19 14:00:13,14.49,b'{}'
1579452309606,2020-01-19 13:45:09,14.63,b'{}'
1579451408690,2020-01-19 13:30:08,14.74,b'{}'
1579450520582,2020-01-19 13:15:20,14.77,b'{}'
1579449621462,2020-01-19 13:00:21,14.7,b'{}'
1579448713616,2020-01-19 12:45:13,15.07,b'{}'
1579447812526,2020-01-19 12:30:12,15.33,b'{}'
1579446909628,2020-01-19 12:15:09,15.22,b'{}'
1579446006924,2020-01-19 12:00:06,15.45,b'{}'
1579445119449,2020-01-19 11:45:19,15.83,b'{}'
1579444219669,2020-01-19 11:30:19,16.02,b'{}'
1579443312613,2020-01-19 11:15:12,16.07,b'{}'
1579442412211,2020-01-19 11:00:12,16.15,b'{}'
1579441508556,2020-01-19 10:45:08,16.37,b'{}'
1579440606586,2020-01-19 10:30:06,16.38,b'{}'
1579439720506,2020-01-19 10:15:20,16.32,b'{}'
1579438821623,2020-01-19 10:00:21,16.23,b'{}'
1579437912475,2020-01-19 09:45:12,16.27,b'{}'
1579437011380,2020-01-19 09:30:11,16.06,b'{}'
1579436108552,2020-01-19 09:15:08,16.06,b'{}'
1579435206323,2020-01-19 09:00:06,15.96,b'{}'
1579434319537,2020-01-19 08:45:19,16.0,b'{}'
1579433420631,2020-01-19 08:30:20,16.09,b'{}'
1579432513537,2020-01-19 08:15:13,16.1,b'{}'
1579431612450,2020-01-19 08:00:12,16.18,b'{}'
1579430709475,2020-01-19 07:45:09,16.14,b'{}'
1579429806574,2020-01-19 07:30:06,16.1,b'{}'
1579428920459,2020-01-19 07:15:20,16.11,b'{}'
1579428021400,2020-01-19 07:00:21,16.23,b'{}'
1579427112449,2020-01-19 06:45:12,16.15,b'{}'
1579426211405,2020-01-19 06:30:11,15.92,b'{}'
1579425308458,2020-01-19 06:15:08,15.88,b'{}'
1579424406240,2020-01-19 06:00:06,16.0,b'{}'
1579423518375,2020-01-19 05:45:18,16.04,b'{}'
1579422619705,2020-01-19 05:30:19,15.97,b'{}'
1579421712478,2020-01-19 05:15:12,15.89,b'{}'
1579420810535,2020-01-19 05:00:10,15.91,b'{}'
1579419908465,2020-01-19 04:45:08,15.9,b'{}'
1579419005938,2020-01-19 04:30:05,15.83,b'{}'
1579418118458,2020-01-19 04:15:18,15.9,b'{}'
1579417220379,2020-01-19 04:00:20,16.21,b'{}'
1579416312468,2020-01-19 03:45:12,16.26,b'{}'
1579415410432,2020-01-19 03:30:10,16.32,b'{}'
1579414509496,2020-01-19 03:15:09,16.33,b'{}'
1579413605961,2020-01-19 03:00:05,16.14,b'{}'
1579412719462,2020-01-19 02:45:19,16.17,b'{}'
1579411821219,2020-01-19 02:30:21,16.03,b'{}'
1579410911453,2020-01-19 02:15:11,15.98,b'{}'
1579410009646,2020-01-19 02:00:09,15.91,b'{}'
1579409107489,2020-01-19 01:45:07,15.78,b'{}'
1579408205329,2020-01-19 01:30:05,15.84,b'{}'
1579407319362,2020-01-19 01:15:19,15.72,b'{}'
1579406420601,2020-01-19 01:00:20,15.74,b'{}'
1579405512324,2020-01-19 00:45:12,15.62,b'{}'
1579404610406,2020-01-19 00:30:10,15.57,b'{}'
1579403707414,2020-01-19 00:15:07,15.53,b'{}'
1579402805193,2020-01-19 00:00:05,15.28,b'{}'
1579401920465,2020-01-18 23:45:20,15.16,b'{}'
1579401020906,2020-01-18 23:30:20,14.78,b'{}'
1579400112309,2020-01-18 23:15:12,14.61,b'{}'
1579399210362,2020-01-18 23:00:10,14.73,b'{}'
1579398308352,2020-01-18 22:45:08,14.62,b'{}'
1579397405699,2020-01-18 22:30:05,14.7,b'{}'
1579396519272,2020-01-18 22:15:19,14.6,b'{}'
1579395621216,2020-01-18 22:00:21,14.47,b'{}'
